x,y,run,camcol,field,ra,dec
654.000128,1244.500244,001035,3,0028,9.767088208931368,14.600162759847573
1283.999744,845.500359,001043,4,0147,22.564465736359704,14.67731640559632
1636.999168,1256.500095,001043,5,0159,24.502148079627776,14.982591459679176
1165.500416,510.99948700000004,001043,6,0189,29.080833635063456,14.925306705752083
1529.99936,650.000615,001739,2,0306,0.5614854299637214,14.487616583271121
1010.999296,81.000111,001739,6,0301,359.68354007315645,16.090792048536436
1526.99904,887.5005819999999,001904,2,0171,3.201421822413481,14.525552873622436
1632.499712,1172.999953,002125,2,0311,165.47575259616954,4.046372672701048
1130.000384,1236.499847,002125,3,0319,166.67278235048036,4.444546062937309
530.999296,459.000629,002125,4,0253,156.66955289502698,4.454605538469063
685.000704,984.4999980000001,002126,1,0351,171.82805175884957,3.8895163884360406
1615.499264,936.999409,002126,2,0335,169.41034146257692,4.359599399330563
342.499328,916.500346,002126,2,0436,184.57446763581714,4.402727292228149
410.499072,1133.499761,002126,3,0326,168.07379703586167,4.614131500643053
875.999232,1117.9992710000001,002126,4,0168,144.34817182985933,4.09864458932541
1383.000064,1222.500269,002126,4,0239,155.00445781393296,4.68978615296735
1913.499648,615.000181,002126,5,0216,151.46355494367506,5.006266194319005
1732.999168,1252.5006409999999,002190,2,0089,195.35467056573836,4.4692144528194735
401.999872,1260.000734,002190,2,0208,213.20632669729508,3.812222630163343
1024.0,1127.000276,002190,3,0114,199.10133131319628,4.741846097063473
1436.99968,856.499602,002190,4,0102,197.27768004388207,5.243235690930769
1023.000576,838.999385,002190,4,0107,198.02638632665202,5.183450701817825
721.999872,554.500622,002190,6,0061,191.08746509447096,6.0897296111324195
861.499392,606.000665,002190,6,0143,203.43293929186206,5.878246068588531
1300.000768,351.9996,002247,1,0222,194.0186628090957,3.812739772181803
541.999104,511.499791,002247,2,0110,177.23046555961182,4.164989718409191
450.500608,1252.0003370000002,002247,2,0202,191.12043767099175,4.172150895631824
582.00064,1233.499512,002247,2,0257,199.37226627331324,4.059253219977073
992.499712,798.500074,002247,3,0258,199.4845449235169,4.521568775612962
537.99936,1073.000202,002247,5,0231,195.47303285521693,5.3861369287604415
1428.50048,1179.499438,002247,6,0160,184.80796603634067,5.986582000347816
1681.000448,718.9993860000001,002247,6,0166,185.6601223522958,6.01405970171573
1031.000064,684.000441,002247,6,0309,207.1686180172376,5.575751753021201
803.500032,443.500139,002986,3,0215,150.75803255922338,5.871138207911524
1184.499712,616.499604,002986,6,0315,165.75779529499906,8.04841833057159
627.499008,875.999546,003031,4,0294,164.1705889095883,9.41875299817114
683.999232,82.499534,003462,4,0076,121.45120772192124,26.015137956010584
1890.500608,341.000357,003525,2,0168,180.13245627873582,9.533947737768868
1397.499904,581.000355,003525,4,0197,184.56111309809668,10.354183349866886
1697.499136,637.999275,003525,6,0197,184.56610361276387,11.226770610191044
925.999104,522.999338,003538,2,0183,145.27629329826252,8.92178048390932
316.499968,1110.999482,003538,5,0289,161.23936680458058,11.91562239809752
774.500352,664.000193,003538,6,0275,159.01100008083992,12.188702308998584
1125.500928,1338.999629,004649,5,0219,217.76647985854382,26.45166626781696
1575.499776,607.500088,004649,6,0211,216.52563356912552,27.244156910391183
606.500864,1382.00046,004670,4,0094,211.46522548301655,25.260352100465916
605.499392,167.500588,005087,6,0136,171.42456376511615,27.74318366288075
1255.999488,1094.499873,005112,2,0136,130.24414236202566,16.183599724637055
701.499392,130.500427,005112,2,0364,165.38166377675574,25.555767801880304
1238.499328,74.99944099999999,005112,3,0441,178.12228271105573,27.25093848117693
1618.499584,498.000517,005112,3,0448,179.3501476551948,27.34779073939755
1745.50016,402.99933899999996,005112,5,0321,158.11359995186498,25.73905596167308
1170.999296,828.000142,005115,1,0143,193.62037898252015,26.303623111645916
243.499008,582.499778,005115,2,0196,202.41347010810242,25.7970656140809
525.500416,972.500147,005116,3,0072,180.09007536603488,24.75878059194645
1476.999168,415.99979800000006,005116,3,0183,198.30301563665782,24.352467157060516
1063.999488,574.499381,005116,5,0049,176.19280734507993,25.480282522494505
1102.999552,1004.5002460000001,005116,5,0101,184.8753845650169,25.74268077664113
1176.500224,153.000706,005116,6,0058,177.60582935836666,25.98933796677909
323.500032,1308.999257,005137,5,0128,132.1157825107461,16.19248305192451
1020.99968,1072.499898,005140,3,0131,171.66122620128223,24.299175985969434
1180.499968,983.4993900000001,005140,6,0137,172.50341939515098,25.65421229722969
1392.500736,1276.500343,005183,2,0016,133.1405377080784,13.841306200951754
1755.000832,753.4995160000001,005224,1,0234,189.35281248005035,23.864171751555478
1261.500416,1289.9996170000002,005224,3,0209,185.32615999417993,24.71276140951551
263.499776,182.999589,005224,3,0283,197.3433601978225,24.09261358697675
905.00096,652.0003419999999,005308,1,0181,219.27044489521924,15.764233447706289
109.000704,556.000045,005308,2,0301,237.33503437067955,11.888319661367161
1069.500416,843.9994469999999,005308,2,0341,243.25289303600354,10.297625683710566
1432.500224,108.50045200000001,005308,4,0261,231.6099267567487,14.408760327365526
960.999424,1166.000164,005312,2,0050,139.73155125561078,13.820273502603756
1837.000704,295.00068,005317,3,0070,233.92445060695692,13.217848303952415
1111.5008,1161.000102,005317,3,0074,234.59151010253686,12.960900342367257
1048.000512,1048.500196,005322,3,0185,237.36655172987773,10.791103725747748
186.499072,1147.499339,005322,5,0046,216.57270794552812,15.685972682616725
216.999936,154.50012900000002,005326,2,0040,205.67313043043637,15.608407539508399
1882.499072,356.499358,005326,2,0064,209.4210405415847,15.373532690079365
290.000896,904.500495,005326,3,0076,211.36299611836785,15.376337681986689
171.999232,505.999425,005326,3,0143,221.55343275881236,13.797546751216942
710.00064,418.49982900000003,005326,6,0143,221.78783334211667,15.096277371424888
1732.499456,1210.5004179999999,005360,1,0382,204.79953419848482,15.440908072073357
373.999616,348.99926500000004,005815,2,0090,135.9875852754424,14.57757662362009
196.999168,236.499359,005934,3,0102,38.22339382934784,25.153300991859314
1468.000256,79.500688,005934,4,0131,39.87467854015745,29.259015638699957
250.499072,692.999957,005935,2,0223,150.0103429839527,15.76866835995445
544.0,609.499815,005935,3,0194,145.4945013278741,15.310188615064453
108.500992,349.499569,005935,3,0212,148.21051116575617,15.826584458186788
699.000832,714.499628,005935,4,0120,134.3066612145171,13.055972668692176
376.500224,313.500016,005935,5,0154,139.2320998003919,14.714281396752492
1878.499328,911.5002840000001,005972,3,0189,143.80042750324313,13.121180089936848
238.000128,1310.5001690000001,005972,4,0146,137.34424367025773,12.00982654987103
1747.499008,153.99982500000002,005972,5,0189,143.54770770429175,13.913091618841978
1097.00096,413.49976699999996,006004,1,0191,144.6035528912024,12.546658535569854
241.999872,434.999438,006004,2,0224,149.5302370616056,13.780389003222352
487.000064,209.49932199999998,006004,2,0265,155.75205148410697,14.790502748545837
1501.499392,1152.0005859999999,006004,3,0068,126.21592361136574,9.224863772275858
169.500672,1248.4996979999999,006004,5,0180,142.71624849700993,13.782891192722683
1048.000512,1367.999393,006004,5,0211,147.40909150066565,14.776058360853153
1243.500544,1402.000708,006354,1,0225,349.7653036200293,16.022307389786366
158.500864,397.999277,006354,2,0122,342.0132595922829,29.829855220383042
